folder,path,version,port,module,class,def,counts,missing
micropython-core,..\repos\micropython-stubs\stubs\micropython-core,core,unknown,1.0,1.0,1.0,"{'def': 14, 'class': 1, 'module': 2}","{'module': 0, 'class': 0, 'def': 0}"
micropython-latest-docstubs,..\repos\micropython-stubs\stubs\micropython-latest-docstubs,99.99.99,docstubs,1.0,0.96,0.97,"{'def': 919, 'class': 120, 'module': 55}","{'module': 0, 'class': 5, 'def': 24}"
micropython-latest-esp32-ESP32_GENERIC-merged,..\repos\micropython-stubs\stubs\micropython-latest-esp32-ESP32_GENERIC-merged,99.99.99,esp32,0.84,0.71,0.59,"{'def': 2248, 'class': 385, 'module': 174}","{'module': 28, 'class': 110, 'def': 918}"
micropython-latest-esp32-merged,..\repos\micropython-stubs\stubs\micropython-latest-esp32-merged,99.99.99,esp32,0.83,0.7,0.58,"{'def': 2236, 'class': 377, 'module': 174}","{'module': 30, 'class': 112, 'def': 950}"
micropython-latest-esp8266-merged,..\repos\micropython-stubs\stubs\micropython-latest-esp8266-merged,99.99.99,esp8266,0.89,0.8,0.62,"{'def': 1322, 'class': 166, 'module': 116}","{'module': 13, 'class': 34, 'def': 498}"
micropython-latest-frozen,..\repos\micropython-stubs\stubs\micropython-latest-frozen,99.99.99,frozen,0.26,0.17,0.37,"{'def': 20461, 'class': 3084, 'module': 2394}","{'module': 1778, 'class': 2555, 'def': 12977}"
micropython-latest-rp2-merged,..\repos\micropython-stubs\stubs\micropython-latest-rp2-merged,99.99.99,rp2,0.91,0.8,0.57,"{'def': 1546, 'class': 359, 'module': 116}","{'module': 11, 'class': 73, 'def': 660}"
micropython-latest-rp2-PIMORONI_PICOLIPO_16MB-merged,..\repos\micropython-stubs\stubs\micropython-latest-rp2-PIMORONI_PICOLIPO_16MB-merged,99.99.99,rp2,0.91,0.76,0.57,"{'def': 1546, 'class': 305, 'module': 116}","{'module': 11, 'class': 73, 'def': 660}"
micropython-latest-rp2-RPI_PICO-merged,..\repos\micropython-stubs\stubs\micropython-latest-rp2-RPI_PICO-merged,99.99.99,rp2,0.89,0.82,0.62,"{'def': 1688, 'class': 432, 'module': 128}","{'module': 14, 'class': 79, 'def': 644}"
micropython-latest-rp2-RPI_PICO_W-merged,..\repos\micropython-stubs\stubs\micropython-latest-rp2-RPI_PICO_W-merged,99.99.99,rp2,0.83,0.75,0.57,"{'def': 2288, 'class': 636, 'module': 174}","{'module': 30, 'class': 159, 'def': 978}"
micropython-latest-samd-ADAFRUIT_FEATHER_M4_EXPRESS-merged,..\repos\micropython-stubs\stubs\micropython-latest-samd-ADAFRUIT_FEATHER_M4_EXPRESS-merged,99.99.99,samd,0.88,0.84,0.56,"{'def': 1454, 'class': 397, 'module': 102}","{'module': 12, 'class': 64, 'def': 646}"
micropython-latest-samd-ADAFRUIT_ITSYBITSY_M4_EXPRESS-merged,..\repos\micropython-stubs\stubs\micropython-latest-samd-ADAFRUIT_ITSYBITSY_M4_EXPRESS-merged,99.99.99,samd,0.88,0.83,0.56,"{'def': 1454, 'class': 371, 'module': 102}","{'module': 12, 'class': 64, 'def': 646}"
micropython-latest-samd-MINISAM_M4-merged,..\repos\micropython-stubs\stubs\micropython-latest-samd-MINISAM_M4-merged,99.99.99,samd,0.88,0.82,0.56,"{'def': 1454, 'class': 353, 'module': 102}","{'module': 12, 'class': 64, 'def': 646}"
